"Downstream neuron","Sum","#Synapses with A02n_a1r Pseudolooper-4","#Synapses with A02m_a1r Pseudolooper-3","#Synapses with A02n_a1l Pseudolooper-4","#Synapses with A02m_a1l Pseudolooper-3","reviewed","node count"
"ALL (38 neurons)",448,95,117,135,101,"",""
"MNISN-Is RP2_a1l","16","0","0","11","5","0","2933"
"MN9 U1_a1r","16","6","3","1","6","0","2982"
"MN20 ISN_a1l","11","0","0","8","3","0","2047"
"MN9 U1_a1l","10","1","1","5","3","0","3263"
"A05e_a1l","6","0","0","3","3","0","2176"
"MN22/23 (RF:LT2/LT3) LT1_a1l","5","0","0","1","4","0","3034"
"MN11 (ISN NB3-2)_a1r","5","1","4","0","0","0","795"
"A06f_a1r (Saaghi-2)","5","3","2","0","0","0","1621"
"MNISN-Is RP2_a1r","5","3","2","0","0","0","2409"
"MN3 (ISN U4 DA3 NB7-1?)_a1l","5","0","0","2","3","0","1851"
"A02n_a1r Pseudolooper-4","4","0","4","0","0","0","1952"
"MN21/22 (RF:LT1/LT2) LT2_a1l","4","0","0","1","3","0","2386"
"A03xyz_a1l","3","0","0","3","0","0","2224"
"A06f_a1l (Saaghi-2)","3","0","0","2","1","0","2175"
"MN18 (ISN DT1)_a1r","3","0","3","0","0","0","2625"
"A08e3_a1r","3","0","0","3","0","0","2118"
"A02m_a1r Pseudolooper-3","2","2","0","0","0","0","1711"
"MN1 aCC_a1r","2","0","2","0","0","0","4204"
"A27n_a1l","2","0","0","0","2","0","1314"
"MN10 U2_a1l","2","0","0","2","0","0","2918"
"MN19 (ISN NB3-2)_a1l","2","0","0","2","0","0","1568"
"MN18 (ISN DT1)_a1l","2","0","0","2","0","0","2860"
"MN19 (ISN NB3-2)_a1r","2","1","1","0","0","0","1020"
"Contralateral axon","2","0","0","1","1","0","4522"
"A03o_a1r","1","1","0","0","0","0","4570"
"A03EGB_a2r (EGHBAL)","1","0","1","0","0","0","1730"
"MN8 (RF:SBM) LT3_a1r","1","1","0","0","0","0","1595"
"A10a_a1r Chair-1","1","0","0","1","0","0","2917"
"A08e1_a1l","1","0","0","1","0","0","2300"
"A02e_a1l","1","0","0","0","1","0","2860"
"A07c4??_a1l","1","0","0","0","1","0","2864"
"A06g2_a1l (Saaghi-5)","1","0","0","1","0","0","1524"
"A01a_a1l","1","0","0","1","0","0","1775"
"A03a3_a1r (pre dMNs)","1","0","1","0","0","0","2550"
"A03a3_a1l (pre dMNs)","1","0","0","1","0","0","2222"
"A02f_a1r","1","0","1","0","0","0","1646"
"A02a- looper-1_a1l","1","0","0","0","1","0","1421"
"A06l_a1l (Saaghi-1)","1","0","0","1","0","0","3530"
