"Upstream neuron","Sum","#Synapses with A02n_a1r Pseudolooper-4","#Synapses with A02m_a1r Pseudolooper-3","#Synapses with A02n_a1l Pseudolooper-4","#Synapses with A02m_a1l Pseudolooper-3","reviewed","node count"
"ALL (49 neurons)",285,79,78,79,49,"",""
"Basin2_a1","18","9","6","0","3","0","4920"
"Basin2_a1","16","2","4","5","5","0","4678"
"ppk_ddaC_a1","15","3","1","7","4","0","924"
"ppk_ddaC_a1","13","8","2","2","1","0","956"
"ddaC_t3l","13","4","1","5","3","0","909"
"basin-related descending 1 sog_l","10","5","4","0","1","0","8102"
"ppk_v'ada_a1","10","1","0","7","2","0","1031"
"A09a_a3r Basin-2","7","2","4","0","1","0","1044"
"A09a_a2r Basin-2","7","3","2","0","2","0","4532"
"basin-related descending 1 sog_r","7","0","1","3","3","0","9515"
"vdaD a1l class III md","7","1","0","4","2","0","882"
"ppk_vdaB_a1","7","1","0","3","3","0","1313"
"A09a_a2l Basin-2","6","2","3","1","0","0","2590"
"chos_v'ch_a1","5","1","4","0","0","0","921"
"A02m_a1r Pseudolooper-3","4","4","0","0","0","0","1711"
"Griddle-2 a1r","4","2","2","0","0","0","2597"
"A03o_a1r","3","1","2","0","0","0","4570"
"A03o_a1l","3","0","0","2","1","0","3282"
"v'ada t3l","3","1","0","0","2","0","1092"
"ldaB class III a1l","3","0","0","3","0","0","1246"
"A02n_a1r Pseudolooper-4","2","0","2","0","0","0","1952"
"ddaC_a2r","2","2","0","0","0","0","330"
"v'ada t3r","2","1","1","0","0","0","1165"
"A10a_a1r Chair-1","2","0","0","2","0","0","2917"
"chos_vchAB2_a1","2","0","0","2","0","0","728"
"A14a2/c?_a1l","2","0","0","1","1","0","1791"
"A08e3_a1r","2","0","0","2","0","0","2118"
"Griddle-2 a1l","2","0","1","1","0","0","3282"
"A03a3_a1r (pre dMNs)","2","1","1","0","0","0","2550"
"A02o_a3r Wave-1","2","0","2","0","0","0","4652"
"A31k_a1l","2","2","0","0","0","0","3515"
"vdaD class III md_a1r or es?","1","0","1","0","0","0","757"
"A00c_a5","1","0","0","0","1","0","7702"
"Basin1_a1","1","0","0","0","1","0","6074"
"ddaC_t3r","1","1","0","0","0","0","603"
"A02f_a1l","1","0","0","1","0","0","1713"
"A09l_a1r (Down-and-back-1)","1","0","0","1","0","0","4161"
"A02k Pseudolooper-1_a1l","1","0","0","0","1","0","2500"
"A02o_t3r Wave-1","1","0","1","0","0","0","3951"
"dbd_a1r","1","1","0","0","0","0","711"
"A05e_a1l","1","0","0","1","0","0","2176"
"Ladder-e a1","1","0","0","1","0","0","7276"
"chos_v'ch_a1","1","0","0","1","0","0","955"
"A08e3_a1l","1","0","1","0","0","0","2168"
"A09l_a1l (Down-and-back-1)","1","0","0","1","0","0","3412"
"vdaB_a2l","1","0","1","0","0","0","777"
"A02b_a1r","1","0","0","1","0","0","2666"
"A27j_a1l","1","0","0","1","0","0","1702"
"TePn05 classIV-related projection C left","1","0","0","1","0","0","6155"
