R1_Ctl,R2_Ctl,R3_Ctl,R1_WashIn,R2_WashIn,R3_WashIn
4.569388866,2.780490398,4.370117188,34.9695549,35.5682373,29.8563633
4.924052238,2.803096056,2.05078125,35.57990646,34.97314453,27.36409569
4.156989098,4.860207081,2.062988281,35.25677872,35.23254395,20.14160156
5.988043785,2.678765297,3.918457031,35.09521484,34.94262695,28.83911133
3.200221777,2.87091279,3.674316406,34.62847519,35.50720215,27.05891991
4.189980984,2.837004423,2.014160156,35.07726288,36.08703613,17.64933205
3.959037066,2.43010354,1.782226563,33.78731918,35.49194336,28.78824806
3.876557112,4.995840549,1.977539063,33.56933594,35.09521484,27.6184082
5.42718029,2.837004423,2.478027344,34.22328568,34.7442627,17.49674416
5.072516441,3.469961643,3.820800781,33.4821434,34.46960449,27.72013283
4.189980984,2.407497883,3.088378906,33.04617691,34.34753418,18.92089844
4.206477165,2.418800592,2.197265625,33.65652847,34.60693359,30.16153908
6.614891052,3.017849445,2.917480469,32.2178421,33.96606445,16.42862892
4.858068466,4.543728352,2.941894531,33.22056198,33.58459473,27.92358398
4.33844471,2.780490398,3.454589844,33.74372101,33.6151123,29.39859962
4.503404617,3.594292641,2.233886719,33.39495087,32.65380859,15.71655273
4.297204971,3.786440134,2.026367188,32.87179184,,27.82185936
3.802325249,2.44140625,3.198242188,33.43854523,,18.51399803
4.891060352,2.995243788,4.772949219,32.9153862,,30.05981445
4.717852592,5.142776966,3.063964844,33.13336945,,16.53035545
3.893053293,2.678765297,3.271484375,,,27.77099609
3.868309259,3.153483152,2.307128906,,,18.31054688
2.969277859,3.775137424,2.990722656,,,16.37776756
3.323941708,5.052354813,3.601074219,,,29.60205078
5.979795933,2.757884741,2.697753906,,,27.51668358
3.530141354,2.97263813,2.209472656,,,18.00537109
4.750844479,2.893518448,2.490234375,,,30.21240234
3.950789213,4.102918625,2.160644531,,,15.05533886
5.847827911,2.588342667,2.478027344,,,27.16064453
3.728093386,2.995243788,3.7109375,,,17.54760742
3.488901615,2.667462349,2.734375,,,29.90722656
3.472405434,2.814398766,2.172851563,,,14.75016308
5.674620152,5.662706375,1.989746094,,,26.60115623
4.148741245,3.741229057,3.3203125,,,17.34415627
4.189980984,2.995243788,2.404785156,,,16.17431641
5.83133173,2.757884741,1.867675781,,,29.55118752
4.04976511,2.882215738,1.85546875,,,26.60115623
3.092997789,4.102918625,3.051757813,,,16.42862892
3.348685503,2.554434299,4.174804688,,,15.10620117
3.827069283,2.882215738,2.136230469,,,10.37597656
3.959037066,2.904821396,2.34375,,,27.00805664
3.843565226,2.904821396,2.941894531,,,17.14070702
2.738333941,4.159432888,2.270507813,,,30.11067772
4.10750103,3.842954397,2.648925781,,,14.49584961
3.027013779,2.893518448,3.22265625,,,26.39770508
4.437420845,2.136230469,4.541015625,,,16.53035545
3.587877512,4.803692818,2.331542969,,,14.95361328
2.581622124,2.678765297,3.735351563,,,28.78824806
3.150733709,3.164785862,1.867675781,,,26.14339256
3.884805202,2.983941078,1.940917969,,,15.9708662
3.092997789,4.14812994,,,,11.34236622
3.1589818,3.119574547,,,,29.50032616
3.678605318,2.735279322,,,,26.0925293
4.684860706,2.418800592,,,,15.9708662
5.080764294,4.193341255,,,,13.42773438
2.870301962,5.244502544,,,,29.14428711
3.307445526,3.436053276,,,,
3.530141354,2.950032473,,,,
4.198228836,2.780490398,,,,
3.695101261,2.192744493,,,,
3.926045179,4.8828125,,,,
4.033268929,2.916124105,,,,
3.695101261,3.662109375,,,,
3.183725834,3.537778616,,,,
3.744589329,4.012496471,,,,
3.604373455,3.029152155,,,,
3.340437651,4.408094406,,,,
5.064268589,2.825701714,,,,
4.561140537,3.255208254,,,,
3.909549236,3.289116859,,,,
4.610628605,2.034505129,,,,
3.728093386,3.7186234,,,,
5.418931961,3.910771132,,,,
4.750844479,1.559787273,,,,
3.678605318,2.192744493,,,,
4.041517258,2.294469833,,,,
4.503404617,3.142180204,,,,
3.975533247,3.142180204,,,,
3.57138133,3.277813911,,,,
4.437420845,2.610948324,,,,
4.10750103,2.667462349,,,,
4.115748882,4.057707787,,,,
4.552892685,2.33968091,,,,
3.315693617,2.769187689,,,,
3.711597443,2.362286568,,,,
4.924052238,3.334327936,,,,
4.643620491,5.61749506,,,,
3.398173571,2.45270896,,,,
4.643620491,2.023202419,,,,
5.163244247,4.012496471,,,,
3.884805202,2.147533178,,,,
3.488901615,3.255208254,,,,
4.140492916,4.14812994,,,,
4.552892685,3.029152155,,,,
4.569388866,3.029152155,,,,
3.686853409,1.842357516,,,,
4.148741245,2.45270896,,,,
4.173484802,3.978587866,,,,
5.839579582,,,,,
3.868309259,,,,,
4.330196857,,,,,
5.682868004,,,,,
4.379684925,,,,,
4.519900799,,,,,
4.478660583,,,,,
6.334459305,,,,,
4.453917027,,,,,
3.257957697,,,,,
3.21671772,,,,,
3.315693617,,,,,
4.915804386,,,,,
2.787822008,,,,,
3.27445364,,,,,
5.278716087,,,,,
2.746582031,,,,,
4.008524895,,,,,
3.299197674,,,,,
