Time,V,dV/dt
0,0,0
0.1,0.015570193,0.015570193
0.2,0.009342115,-0.006228077
0.3,0,-0.009342115
0.4,-0.009342115,-0.009342115
0.5,-0.034254424,-0.024912309
0.6,-0.018684231,0.015570194
0.7,-0.003114039,0.015570192
0.8,0.006228077,0.009342116
0.9,-0.031140385,-0.037368462
1,-0.006228077,0.024912308
1.1,-0.059166733,-0.052938656
1.2,-0.028026348,0.031140385
1.3,-0.049824618,-0.02179827
1.4,-0.04359654,0.006228078
1.5,0,0.04359654
1.6,-0.046710581,-0.046710581
1.7,-0.087193079,-0.040482499
1.8,-0.031140385,0.056052694
1.9,-0.090307117,-0.059166731
2,-0.034254424,0.056052692
2.1,-0.102763273,-0.068508849
2.2,-0.037368461,0.065394811
2.3,-0.080965005,-0.043596543
2.4,-0.02179827,0.059166735
2.5,-0.074736923,-0.052938653
2.6,-0.028026348,0.046710575
2.7,-0.074736923,-0.046710575
2.8,-0.006228077,0.068508846
2.9,-0.052938655,-0.046710578
3,-0.031140385,0.02179827
3.1,-0.040482502,-0.009342117
3.2,-0.024912309,0.015570194
3.3,-0.06228077,-0.037368461
3.4,-0.009342115,0.052938655
3.5,-0.018684231,-0.009342115
3.6,-0.031140385,-0.012456154
3.7,-0.037368461,-0.006228076
3.8,0.024912309,0.06228077
3.9,-0.037368461,-0.06228077
4,0.018684231,0.056052692
4.1,0.015570193,-0.003114038
4.2,-0.003114039,-0.018684231
4.3,-0.006228077,-0.003114039
4.4,0,0.006228077
4.5,0.018684231,0.018684231
4.6,0.018684231,0
4.7,-0.003114039,-0.021798269
4.8,0.024912309,0.028026348
4.9,0.009342115,-0.015570194
5,0,-0.009342115
5.1,0.018684231,0.018684231
5.2,-0.018684231,-0.037368461
5.3,0.006228077,0.024912308
5.4,0.018684231,0.012456154
5.5,0.015570193,-0.003114038
5.6,0.056052696,0.040482503
5.7,-0.015570193,-0.071622889
5.8,0.024912309,0.040482501
5.9,0.046710581,0.021798272
6,0.034254424,-0.012456156
6.1,0.071622886,0.037368461
6.2,0.049824618,-0.021798268
6.3,0.068508849,0.018684231
6.4,0.034254424,-0.034254424
6.5,0.074736923,0.040482499
6.6,0.059166733,-0.01557019
6.7,0.080965005,0.021798272
6.8,0.077850968,-0.003114037
6.9,0.052938655,-0.024912313
7,0.071622886,0.018684231
7.1,0.102763273,0.031140387
7.2,0.10587731,0.003114037
7.3,0.071622886,-0.034254424
7.4,0.074736923,0.003114037
7.5,0.121447504,0.046710581
7.6,0.127675578,0.006228074
7.7,0.183728278,0.0560527
7.8,0.115219429,-0.068508849
7.9,0.186842322,0.071622893
8,0.171272129,-0.015570194
8.1,0.186842322,0.015570194
8.2,0.158815965,-0.028026357
8.3,0.217982695,0.059166729
8.4,0.20864059,-0.009342104
8.5,0.249123082,0.040482491
8.6,0.26469329,0.015570208
8.7,0.298947692,0.034254402
8.8,0.305175781,0.006228089
8.9,0.330088079,0.024912298
9,0.37679866,0.046710581
9.1,0.432851374,0.056052715
9.2,0.520044446,0.087193072
9.3,0.572983086,0.05293864
9.4,0.613465607,0.040482521
9.5,0.703772724,0.090307117
9.6,0.769167542,0.065394819
9.7,0.884386957,0.115219414
9.8,0.959123909,0.074736953
9.9,1.021404624,0.062280715
10,1.080571413,0.059166789
10.1,1.373291016,0.292719603
10.2,1.4293437,0.056052685
10.3,1.516536832,0.087193131
10.4,1.631756186,0.115219355
10.5,1.731405497,0.09964931
10.6,1.837282777,0.10587728
10.7,1.902677536,0.065394759
10.8,2.021011114,0.118333578
10.9,2.164256811,0.143245697
11,2.214081526,0.049824715
11.1,2.316844702,0.102763176
11.2,2.360441208,0.043596506
11.3,2.43517828,0.074737072
11.4,2.534827471,0.099649191
11.5,2.587766171,0.0529387
11.6,2.600222111,0.01245594
11.7,2.665616989,0.065394878
11.8,2.693643332,0.028026342
11.9,2.715441704,0.021798372
12,2.75903821,0.043596506
12.1,2.76526618,0.00622797
12.2,2.799520731,0.034254551
12.3,2.755924225,-0.043596506
12.4,2.731011868,-0.024912357
12.5,2.715441704,-0.015570164
12.6,2.793292522,0.077850819
12.7,2.734125853,-0.05916667
12.8,2.734125853,0
12.9,2.724783659,-0.009342194
13,2.681187153,-0.043596506
13.1,2.65316081,-0.028026342
13.2,2.593994141,-0.05916667
13.3,2.581537962,-0.012456179
13.4,2.488116741,-0.093421221
13.5,2.404037714,-0.084079027
13.6,2.313730717,-0.090306997
13.7,2.22965169,-0.084079027
13.8,2.158028841,-0.071622849
13.9,2.027239084,-0.130789757
14,1.961844325,-0.065394759
14.1,1.846624851,-0.115219474
14.2,1.771887898,-0.074736953
14.3,1.64109838,-0.130789518
14.4,1.504080653,-0.137017727
14.5,1.357720852,-0.146359801
14.6,1.264299631,-0.093421221
14.7,1.083685398,-0.180614233
14.8,0.968465984,-0.115219414
14.9,0.818992138,-0.149473846
15,0.719342887,-0.099649251
15.1,0.572983086,-0.146359801
15.2,0.432851374,-0.140131712
15.3,0.305175781,-0.127675593
15.4,0.143245772,-0.16193001
15.5,0.006228077,-0.137017694
15.6,-0.115219429,-0.121447506
15.7,-0.258465201,-0.143245772
15.8,-0.373684645,-0.115219444
15.9,-0.485790014,-0.11210537
16,-0.594781399,-0.108991385
16.1,-0.7411412,-0.146359801
16.2,-0.865702748,-0.124561548
16.3,-0.990264297,-0.124561548
16.4,-1.061887145,-0.071622849
16.5,-1.142852187,-0.080965042
16.6,-1.273641825,-0.130789638
16.7,-1.379519105,-0.10587728
16.8,-1.423115611,-0.043596506
16.9,-1.525878906,-0.102763295
17,-1.566361427,-0.040482521
17.1,-1.659782529,-0.093421102
17.2,-1.687808871,-0.028026342
17.3,-1.837282777,-0.149473906
17.4,-1.843510866,-0.006228089
17.5,-1.90579164,-0.062280774
17.6,-1.955616236,-0.049824595
17.7,-1.96495831,-0.009342074
17.8,-2.033467293,-0.068508983
17.9,-2.092633963,-0.05916667
18,-2.086405754,0.006228209
18.1,-2.136230469,-0.049824715
18.2,-2.145572662,-0.009342194
18.3,-2.170484781,-0.024912119
18.4,-2.17671299,-0.006228209
18.5,-2.210967302,-0.034254313
18.6,-2.217195511,-0.006228209
18.7,-2.251449823,-0.034254313
18.8,-2.195397139,0.056052685
18.9,-2.210967302,-0.015570164
19,-2.195397139,0.015570164
19.1,-2.207853317,-0.012456179
19.2,-2.223423481,-0.015570164
19.3,-2.179826975,0.043596506
19.4,-2.189169168,-0.009342194
19.5,-2.18294096,0.006228209
19.6,-2.095747948,0.087193012
19.7,-2.126888275,-0.031140327
19.8,-2.083291769,0.043596506
19.9,-2.092633963,-0.009342194
20,-2.033467293,0.05916667
20.1,-1.999212742,0.034254551
20.2,-1.996098757,0.003113985
20.3,-1.96495831,0.031140447
20.4,-1.989870667,-0.024912357
20.5,-1.896449447,0.093421221
20.6,-1.936931968,-0.040482521
20.7,-1.821712613,0.115219355
20.8,-1.840396762,-0.018684149
20.9,-1.781230092,0.05916667
21,-1.81237042,-0.031140327
21.1,-1.718949318,0.093421102
21.2,-1.756317735,-0.037368417
21.3,-1.666010618,0.090307117
21.4,-1.637984276,0.028026342
21.5,-1.58815968,0.049824595
21.6,-1.603729844,-0.015570164
21.7,-1.58815968,0.015570164
21.8,-1.550791264,0.037368417
21.9,-1.491624475,0.059166789
22,-1.519650817,-0.028026342
22.1,-1.488510489,0.031140327
22.2,-1.444913864,0.043596625
22.3,-1.423115611,0.021798253
22.4,-1.379519105,0.043596506
22.5,-1.311010242,0.068508863
22.6,-1.367062926,-0.056052685
22.7,-1.363948941,0.003113985
22.8,-1.298554063,0.065394878
22.9,-1.286097884,0.012456179
23,-1.264299631,0.021798253
23.1,-1.236273289,0.028026342
23.2,-1.21758914,0.018684149
23.3,-1.211361051,0.006228089
23.4,-1.152194262,0.059166789
23.5,-1.105483651,0.04671061
23.6,-1.124167919,-0.018684268
23.7,-1.133509994,-0.009342074
23.8,-1.096141577,0.037368417
23.9,-1.083685398,0.012456179
24,-1.024518728,0.05916667
24.1,-1.036974907,-0.012456179
24.2,-1.008948445,0.028026462
24.3,-0.987150252,0.021798193
24.4,-0.965351939,0.021798313
24.5,-0.915527344,0.049824595
24.6,-0.956009865,-0.040482521
24.7,-0.921755433,0.034254432
24.8,-0.912413299,0.009342134
24.9,-0.903071165,0.009342134
25,-0.865702748,0.037368417
25.1,-0.865702748,0
25.2,-0.815878093,0.049824655
25.3,-0.840790391,-0.024912298
25.4,-0.797193885,0.043596506
25.5,-0.79407984,0.003114045
25.6,-0.772281587,0.021798253
25.7,-0.766053498,0.006228089
25.8,-0.756711364,0.009342134
25.9,-0.650834084,0.10587728
26,-0.675746381,-0.024912298
26.1,-0.644605994,0.031140387
26.2,-0.669518292,-0.024912298
26.3,-0.638377905,0.031140387
26.4,-0.591667354,0.046710551
26.5,-0.604123473,-0.012456119
26.6,-0.576097131,0.028026342
26.7,-0.597895384,-0.021798253
26.8,-0.591667354,0.00622803
26.9,-0.58232522,0.009342134
27,-0.544956744,0.037368476
