Time,V,dV/dt
0,0,0
0.100000001,-0.203450516,-0.203450516
0.200000003,-0.050862629,0.152587887
0.300000012,-0.152587891,-0.101725262
0.400000006,0,0.152587891
0.5,-0.152587891,-0.152587891
0.600000024,-0.050862629,0.101725262
0.699999988,-0.101725258,-0.050862629
0.800000012,-0.101725258,0
0.899999976,-0.152587891,-0.050862633
1,0,0.152587891
1.100000024,0,0
1.200000048,0,0
1.299999952,-0.152587891,-0.152587891
1.399999976,-0.050862629,0.101725262
1.5,-0.101725258,-0.050862629
1.600000024,-0.101725258,0
1.700000048,0,0.101725258
1.799999952,0.050862629,0.050862629
1.899999976,0,-0.050862629
2,-0.203450516,-0.203450516
2.099999905,-0.050862629,0.152587887
2.200000048,-0.050862629,0
2.299999952,0,0.050862629
2.400000095,-0.050862629,-0.050862629
2.5,0,0.050862629
2.599999905,0,0
2.700000048,0,0
2.799999952,-0.101725258,-0.101725258
2.900000095,0,0.101725258
3,0,0
3.099999905,0.203450516,0.203450516
3.200000048,0.050862629,-0.152587887
3.299999952,0.050862629,0
3.400000095,-0.050862629,-0.101725258
3.5,0.203450516,0.254313145
3.599999905,-0.050862629,-0.254313145
3.700000048,0.203450516,0.254313145
3.799999952,0.152587891,-0.050862625
3.900000095,0.203450516,0.050862625
4,0.305175781,0.101725265
4.099999905,0.457763672,0.152587891
4.199999809,0.661214173,0.203450501
4.300000191,0.915527344,0.254313171
4.400000095,1.271565795,0.356038451
4.5,1.525878906,0.254313111
4.599999905,1.831054688,0.305175781
4.699999809,2.390543699,0.559489012
4.800000191,2.797444582,0.406900883
4.900000095,3.458658934,0.661214352
5,4.170735836,0.712076902
5.099999905,4.831949711,0.661213875
5.199999809,5.544026852,0.712077141
5.300000191,6.001790524,0.457763672
5.400000095,6.663004398,0.661213875
5.5,7.52766943,0.864665031
5.599999905,8.341471672,0.813802242
5.699999809,9.20613575,0.864664078
5.800000191,9.969075203,0.762939453
5.900000095,10.78287792,0.813802719
6,11.80012989,1.017251968
6.099999905,12.66479492,0.864665031
6.199999809,13.58032227,0.915527344
6.300000191,14.4449873,0.864665031
6.400000095,15.41137695,0.966389656
6.5,16.22517967,0.813802719
6.599999905,17.14070702,0.915527344
6.699999809,18.00537109,0.864664078
6.800000191,18.81917381,0.813802719
6.900000095,20.03987694,1.220703125
7,20.70108986,0.661212921
7.099999905,21.46402931,0.762939453
7.199999809,22.37955666,0.915527344
7.300000191,23.14249611,0.762939453
7.400000095,23.8545742,0.712078094
7.5,24.56665039,0.712076187
7.599999905,25.12613869,0.559488297
7.699999809,25.88907814,0.762939453
7.800000191,26.4994297,0.610351563
7.900000095,26.95719337,0.457763672
8,27.36409569,0.406902313
8.100000381,28.12703514,0.762939453
8.199999809,28.38134766,0.254312515
8.300000191,28.94083595,0.559488297
8.399999619,29.296875,0.356039047
8.5,29.75463867,0.457763672
8.600000381,29.90722656,0.152587891
8.699999809,30.26326561,0.356039047
8.800000191,30.56844139,0.305175781
8.899999619,30.9753418,0.406900406
9,30.9753418,0
9.100000381,31.28051758,0.305175781
9.199999809,31.48396873,0.203451157
9.300000191,31.68741798,0.203449249
9.399999619,31.94173241,0.254314423
9.5,32.04345703,0.101724625
9.600000381,32.19604492,0.152587891
9.699999809,32.34863281,0.152587891
9.800000191,32.5012207,0.152587891
9.899999619,32.65380859,0.152587891
10,32.60294724,-0.050861359
10.10000038,32.75553513,0.152587891
10.19999981,32.90812302,0.152587891
10.30000019,33.06071091,0.152587891
10.39999962,33.16243362,0.101722717
10.5,33.16243362,0
10.60000038,33.31502151,0.152587891
10.69999981,33.46760941,0.152587891
10.80000019,33.46760941,0
10.89999962,33.67106247,0.203453064
11,33.56933594,-0.101726532
11.10000038,33.82365036,0.254314423
11.19999981,33.87451172,0.050861359
11.30000019,34.02709961,0.152587891
11.39999962,33.97623825,-0.050861359
11.5,34.12882614,0.152587891
11.60000038,34.23054886,0.101722717
11.69999981,34.23054886,0
11.80000019,34.33227539,0.101726532
11.89999962,34.28141403,-0.050861359
12,34.33227539,0.050861359
12.10000038,34.58658981,0.254314423
12.19999981,34.38313675,-0.203453064
12.30000019,34.53572464,0.152587891
12.39999962,34.53572464,0
12.5,34.53572464,0
12.60000038,34.48486328,-0.050861359
12.69999981,34.63745117,0.152587891
12.80000019,34.58658981,-0.050861359
12.89999962,34.58658981,0
13,34.58658981,0
13.10000038,34.48486328,-0.101726532
13.19999981,34.58658981,0.101726532
13.30000019,34.58658981,0
13.39999962,34.48486328,-0.101726532
13.5,34.53572464,0.050861359
13.60000038,34.58658981,0.050865173
13.69999981,34.58658981,0
13.80000019,34.63745117,0.050861359
13.89999962,34.68831253,0.050861359
14,34.7391777,0.050865173
14.10000038,34.53572464,-0.203453064
14.19999981,34.84090042,0.305175781
14.30000019,34.79003906,-0.050861359
14.39999962,34.89176559,0.101726532
14.5,34.79003906,-0.101726532
14.60000038,34.7391777,-0.050861359
14.69999981,34.84090042,0.101722717
14.80000019,34.94262695,0.101726532
14.89999962,34.94262695,0
15,34.79003906,-0.152587891
15.10000038,34.79003906,0
15.19999981,34.89176559,0.101726532
15.30000019,34.84090042,-0.050865173
15.39999962,34.68831253,-0.152587891
15.5,34.63745117,-0.050861359
15.60000038,34.84090042,0.203449249
15.69999981,34.7391777,-0.101722717
15.80000019,34.7391777,0
15.89999962,34.79003906,0.050861359
16,34.63745117,-0.152587891
16.10000038,34.58658981,-0.050861359
16.20000076,34.53572464,-0.050865173
16.29999924,34.38313675,-0.152587891
16.39999962,34.53572464,0.152587891
16.5,34.48486328,-0.050861359
16.60000038,34.43400192,-0.050861359
16.70000076,34.43400192,0
16.79999924,34.28141403,-0.152587891
16.89999962,34.23054886,-0.050865173
17,33.97623825,-0.254310608
17.10000038,34.1796875,0.203449249
17.20000076,33.97623825,-0.203449249
17.29999924,33.92537308,-0.050865173
17.39999962,33.82365036,-0.101722717
17.5,33.72192383,-0.101726532
17.60000038,33.67106247,-0.050861359
17.70000076,33.6201973,-0.050865173
17.79999924,33.41674805,-0.203449249
17.89999962,33.41674805,0
18,33.26416016,-0.152587891
18.10000038,33.26416016,0
18.20000076,33.00984573,-0.254314423
18.29999924,32.95898438,-0.050861359
18.39999962,32.80639648,-0.152587891
18.5,32.80639648,0
18.60000038,32.85725784,0.050861359
18.70000076,32.55208206,-0.305175781
18.79999924,32.5012207,-0.050861359
18.89999962,32.45035934,-0.050861359
19,32.34863281,-0.101726532
19.10000038,32.24690628,-0.101726532
19.20000076,32.14518356,-0.101722717
19.29999924,31.89086914,-0.254314423
19.39999962,31.94173241,0.050863266
19.5,31.63655663,-0.305175781
19.60000038,31.53483009,-0.101726532
19.70000076,31.53483009,0
19.79999924,31.28051758,-0.254312515
19.89999962,31.17879295,-0.101724625
20,31.07706642,-0.101726532
20.10000038,30.92447853,-0.152587891
20.20000076,30.87361717,-0.050861359
20.29999924,30.72102928,-0.152587891
20.39999962,30.61930275,-0.101726532
20.5,30.4158535,-0.203449249
20.60000038,30.26326561,-0.152587891
20.70000076,30.21240234,-0.050863266
20.79999924,30.05981445,-0.152587891
20.89999962,30.05981445,0
21,29.95808983,-0.101724625
21.10000038,29.90722656,-0.050863266
21.20000076,29.80550194,-0.101724625
21.29999924,29.70377541,-0.101726532
21.39999962,29.70377541,0
21.5,29.65291405,-0.050861359
21.60000038,29.55118752,-0.101726532
21.70000076,29.296875,-0.254312515
21.79999924,29.24601173,-0.050863266
21.89999962,29.14428711,-0.101724625
22,29.19515038,0.050863266
